,Countries,r2,nrmse,pbias
54,Kenya,0.7606049464730785,0.052199583196752226,3.52005539550264e-09
55,Republic of Korea,1.0,,
56,Kyrgyzstan,0.9818799251389352,0.25598111947690044,-3.0470296464541677
57,Lao People's Democratic Republic,0.9162815052707975,0.19039659417216503,0.0791680444415067
58,Lebanon,1.0,0.0,0.0
59,Lesotho,0.993857686770888,0.027715641765005777,-2.4958721635470653e-10
60,Liberia,0.7763636386004267,0.49231799029119133,-1.1273928162667437e-08
61,Madagascar,0.6982294806819904,0.0479951120289846,-3.073402275495321e-10
62,Malawi,0.8287906423773347,0.02512685267020853,1.17819742131319e-07
63,Malaysia,0.8044937806271719,0.016463681631396054,16.295704358993987
64,Maldives,0.7519756832791962,0.6283191801408098,16.19356840347403
65,Mali,0.7871013659474266,0.13880007048980234,1.5768811908428373e-08
66,Mauritania,0.9412174865293498,0.14764087285926236,-0.5339086305899214
67,Mauritius,0.7843139274999921,0.006589638672015644,1.0883812143033982e-08
68,Mexico,0.7223274187013164,0.09236755502743556,-0.6401248685802948
69,Mongolia,0.8970209602963218,0.7980329537350842,29.66760440327969
70,Republic of Moldova,0.9392648227367191,1.0633920498192975,0.5815070076486424
71,Montenegro,0.5982521503809357,0.03457466342176188,6.022166694184673e-05
72,Morocco,0.9866824002645441,0.01604561095783757,1.830663232034748
73,Mozambique,0.9987200320074738,0.000857996846476077,2.3498596425086703e-10
74,Namibia,0.9528948759566704,0.17582574819113855,-2.4013176389202614e-08
75,Nepal,0.9841863262172761,0.18237017504488987,-1.7713770114053458
76,Nicaragua,0.975281450721836,0.0019217087541382836,5.00151031699033e-10
77,Niger,0.9938995028854012,0.018902569820002074,-1.8296696739642778e-10
78,Nigeria,0.8325056515583018,0.1952997373463354,-1.358909162020803e-10
79,Pakistan,0.9252348324615793,0.4087178908490894,2.6337166045740648
80,Panama,0.5702159744621202,1.4677567041481279,27.303473105501386
81,Papua New Guinea,0.980587891846438,0.039013925962777606,-1.451885888615468e-09
82,Paraguay,0.5921687218380036,0.5721557173728783,7.549554668070314
83,Peru,0.9388504291366138,0.1626355035128457,2.5803684318955353
84,Philippines,0.9700647860047703,0.02754717616474877,0.1921597716798115
85,Guinea-Bissau,0.7425036666157689,0.06848257118525164,5.11609303027286e-07
86,Timor-Leste,0.8954271953897048,0.19140393005276984,-2.4333320907376395e-08
87,Russian Federation,0.24854433910171303,0.43397463287283844,51.59406418451684
88,Rwanda,0.9948230074520727,0.005621013769680381,1.4388648833179973e-08
89,Senegal,0.8652428253967926,0.07718086982736208,1.6740304317166507e-09
90,Serbia,0.6583202518803728,0.045557299749283624,16.66796308976923
91,Sierra Leone,0.8292798938956378,0.45742316427117147,-0.08239412633467434
92,Viet Nam,0.9648908723662383,0.396852006555612,-1.3310820409210158
93,South Africa,0.895860737144063,0.7809896612811824,-4.583042555160154
94,Zimbabwe,0.6745042306999804,0.7644394277946427,-1.0195041436579804e-08
95,Sudan,0.9673206146179141,0.09461227610498939,-1.0923926477030033
96,Suriname,0.45742697591928194,0.04182607812696601,-1.000476345451066e-08
97,Eswatini,0.9773885586617483,0.031017227642807264,-1.3419714433318828e-09
98,Syrian Arab Republic,0.9979729565008291,0.028747776607484662,-0.1041679178023682
99,Tajikistan,0.9796812880432482,0.20907159144086201,-7.909950562919754e-08
100,Thailand,0.01777058392633646,1.3661994042756354,54.65157866196753
101,Togo,0.7359474252566638,0.09450149904837418,3.440851332605128e-05
102,Trinidad and Tobago,0.5841000356989463,0.013483914632076256,-2.4931112059694884
103,Tunisia,0.323439938897918,0.4098075566152774,33.157610505193944
104,Turkey,0.5628302575163086,0.2524313463464184,27.544033838413824
105,Turkmenistan,0.8299911250046255,1.8722521423236709,19.002460983908374
106,Uganda,0.9233875591642351,0.19240754180997863,-0.38279964519313964
107,Ukraine,0.9368214542255758,0.036345735486705354,-20.049472379420326
108,North Macedonia,0.9647143737495052,0.05760531457761416,-3.9837503468198335e-08
109,Egypt,0.527991661007801,0.24091890658699572,1.433873222156005e-09
110,United Republic of Tanzania,0.997177799591982,0.0068906651393639785,-4.4838134336855437e-10
111,Burkina Faso,0.921644179889557,0.18370347296337777,-2.1205414087249224e-08
112,Uruguay,0.6822945771259334,0.019322435075381818,8.996416702525897
113,Uzbekistan,0.9899672405028347,0.0977849345121565,1.1264128427085527
114,Venezuela (Bolivarian Republic of),0.7298487158353574,0.5405753544796753,-1.2314799109577482e-07
115,Yemen,0.9873606972955086,0.14017280573052376,1.3468198563026725e-08
116,Zambia,0.7844330257795014,0.08771647602409191,-2.107281125923406e-09
